feature,year_2025,decile,n,feature_mean,stars_mean,expected_mean,residual_mean
HPSA exposure,0,1,103,0.008469331651428377,3.6990291262135924,3.7155659631642672,-0.016536836950674958
HPSA exposure,0,2,58,0.1700614525460035,3.689655172413793,3.728481090900875,-0.03882591848708185
HPSA exposure,0,3,45,0.4244488137419238,3.933333333333333,3.7855100560601644,0.147823277273169
HPSA exposure,0,4,56,0.7407008184315993,3.830357142857143,3.7426659225269483,0.08769122033019479
HPSA exposure,0,5,60,1.2982859530207187,3.6416666666666666,3.7219158666385406,-0.08024919997187409
HPSA exposure,0,6,48,1.9358735109698024,3.8958333333333335,3.7749205362512064,0.12091279708212728
HPSA exposure,0,7,57,3.013049621568953,3.5789473684210527,3.6384584672827707,-0.059511098861718015
HPSA exposure,0,8,48,5.261343890316031,3.59375,3.5926928970423444,0.0010571029576551632
HPSA exposure,0,9,54,11.001153407496597,3.3333333333333335,3.352576154883295,-0.01924282154996173
HPSA exposure,1,1,104,0.010429493815624543,3.6634615384615383,3.6828667747306607,-0.019405236269122564
HPSA exposure,1,2,46,0.17047612811046978,3.75,3.725040752535889,0.024959247464111205
HPSA exposure,1,3,58,0.43905028169414184,3.810344827586207,3.729503888434604,0.08084093915160293
HPSA exposure,1,4,48,0.7477737141854099,3.8333333333333335,3.780289532927323,0.053043800406010484
HPSA exposure,1,5,43,1.2893888712855521,3.63953488372093,3.737067919345876,-0.09753303562494538
HPSA exposure,1,6,55,1.907178402479763,3.772727272727273,3.715869441671113,0.05685783105615989
HPSA exposure,1,7,47,2.9461365493548684,3.627659574468085,3.639444519754057,-0.011784945285971472
HPSA exposure,1,8,55,5.323048990692935,3.4272727272727272,3.5745443851976777,-0.14727165792495045
HPSA exposure,1,9,50,11.217490225039453,3.33,3.3418059585655935,-0.011805958565593766
